Date,Price,Open,High,Low,Vol.,Change %
2020-05-15,159.83,158.07,161.01,157.31,52.59M,-0.52%
2020-05-14,160.67,156,160.67,152.8,68.41M,1.57%
2020-05-13,158.19,164.17,165.2,152.66,95.33M,-2.28%
2020-05-12,161.88,165.4,168.66,161.6,79.53M,-0.23%
2020-05-11,162.26,158.1,164.8,157,82.60M,-0.99%
2020-05-08,163.88,158.75,164.8,157.4,80.65M,5.04%
2020-05-07,156.01,155.44,159.28,154.47,57.64M,-0.33%
2020-05-06,156.52,155.3,157.96,152.22,55.62M,1.87%
2020-05-05,153.64,157.96,159.78,152.44,84.96M,0.92%
2020-05-04,152.24,140.2,152.4,139.6,96.19M,8.54%
2020-05-01,140.26,151,154.55,136.61,162.66M,-10.31%
2020-04-30,156.38,171.04,173.96,152.7,142.36M,-2.32%
2020-04-29,160.1,158.03,160.64,156.63,81.08M,4.08%
2020-04-28,153.82,159.13,161,151.34,76.11M,-3.71%
2020-04-27,159.75,147.52,159.9,147,103.41M,10.15%
2020-04-24,145.03,142.16,146.15,139.64,66.19M,2.76%
2020-04-23,141.13,145.52,146.8,140.63,66.18M,-3.61%
2020-04-22,146.42,140.8,146.8,137.74,71.12M,6.61%
2020-04-21,137.34,146.02,150.67,134.76,101.05M,-7.99%
2020-04-20,149.27,146.54,153.11,142.44,73.73M,-1.00%
2020-04-17,150.78,154.46,154.99,149.53,65.64M,1.17%
2020-04-16,149.04,143.39,151.89,141.34,103.29M,2.10%
2020-04-15,145.97,148.4,150.63,142,117.89M,2.81%
2020-04-14,141.98,139.79,148.38,138.49,152.88M,9.06%
2020-04-13,130.19,118.03,130.4,116.11,112.38M,13.60%
2020-04-09,114.6,112.42,115.04,111.42,68.25M,4.40%
2020-04-08,109.77,110.84,111.44,106.67,63.28M,0.62%
2020-04-07,109.09,109,113,106.47,89.60M,5.66%
2020-04-06,103.25,102.24,104.2,99.59,74.51M,7.55%
2020-04-03,96,101.9,103.1,93.68,112.81M,5.62%
2020-04-02,90.89,96.21,98.85,89.28,99.29M,-5.63%
2020-04-01,96.31,100.8,102.79,95.02,66.77M,-8.10%
2020-03-31,104.8,100.25,108.59,99.4,88.86M,4.35%
2020-03-30,100.43,102.05,103.33,98.25,59.99M,-2.37%
2020-03-27,102.87,101,105.16,98.81,71.89M,-2.61%
2020-03-26,105.63,109.48,112,102.45,87.11M,-2.06%
2020-03-25,107.85,109.05,111.4,102.22,106.11M,6.78%
2020-03-24,101,95.46,102.74,94.8,114.48M,16.28%
2020-03-23,86.86,86.72,88.4,82.1,82.27M,1.58%
2020-03-20,85.51,87.64,95.4,85.16,141.43M,-0.02%
2020-03-19,85.53,74.94,90.4,71.69,150.98M,18.40%
2020-03-18,72.24,77.8,80.97,70.1,118.93M,-16.04%
